,0
0,0.009378168553491047
1,0.0028325327658363583
2,0.0014309807974776114
3,0.0008347608048260096
4,0.0005265603966843175
5,0.0004298051986693181
6,0.0003341246318105894
7,0.00023825682528505563
8,0.00021450782438143254
9,0.00018384741171504747
10,0.00016400369776765856
11,0.00013507156729868118
12,0.00012316126218254054
13,9.892422461537124e-05
14,8.261501394712586e-05
15,6.989642446333412e-05
16,6.671482830784966e-05
17,6.44005771325536e-05
18,6.461573246773541e-05
19,5.814903864642283e-05
20,5.125404880230262e-05
21,4.692439929739403e-05
22,4.797037248159769e-05
23,4.4460808327177834e-05
24,4.351013587333219e-05
25,3.8896301377177624e-05
26,3.926382167172143e-05
27,3.661388937874297e-05
28,3.0242982313423514e-05
29,2.6487949269835432e-05
